observedAt,instrument,label,value,rawValue,scale,level,tone,sourcePublishedAt,retrievedAt,computedAt,sourceUrl,methodologyUrl,sourceSnapshotUrl,calculatorRepo,calculatorRevision,snapshotHash
2026-07-02T07:02:51.000Z,debt,Debt Risk Radar,53,53.13079995190433,100,Élevé,elevated,2026-07-02T07:02:51.000Z,2026-07-02T07:03:53.527Z,2026-07-02T07:04:00.373Z,https://debt.l0g.fr/latest.json,https://l0g.fr/methodologie/debt-risk-radar/,https://l0g.fr/api/v1/debt-risk.json,https://github.com/bluetouff/debt-risk-radar,,eea9e0027620a719b51feaf007b649470444559b781b6008e97f3c0dc6781681
2026-07-02T07:02:51.000Z,energie,Energie Monitor,45,45,100,Normal,moderate,,,2026-07-02T07:04:00.373Z,https://energie.l0g.fr,https://l0g.fr/methodologie/energie/,https://l0g.fr/api/v1/risk.json,,,8c60a31ea583dde99f4cb52ab4d44e1c9ca82637eb1486ce49e08f0a7a1bedcf
2026-07-02T07:02:51.000Z,eu,EU Macro Dashboard,41,41,100,Risk-On,calm,,,2026-07-02T07:04:00.373Z,https://euro.l0g.fr,https://l0g.fr/methodologie/euro-macro/,https://l0g.fr/api/v1/risk.json,,,5b37f213a0514f6da34571603870067a899b2ce952c1122a257225f901a01f84
2026-07-02T07:02:51.000Z,us,US Macro Dashboard,43,43,100,Modéré,moderate,,,2026-07-02T07:04:00.373Z,https://us.l0g.fr,https://l0g.fr/methodologie/us-macro/,https://l0g.fr/api/v1/risk.json,,,6eeb16dc602e2db2a189315af67446c68a1da8c4bbcf087a12fb95b7c3ad5d5c
2026-07-02T07:02:51.000Z,yen,Yen Carry Monitor,45,45,100,Modéré,moderate,,,2026-07-02T07:04:00.373Z,https://yct.l0g.fr,https://l0g.fr/methodologie/yen-carry/,https://l0g.fr/api/v1/risk.json,,,1ae30525f14ba69ed43266be34d567ccc99a8597e38ac932e68bba3494fb2a93
