url,statut_gsc,derniere_exploration
https://l0g.fr/api/mcp/compact,Bloquée en raison d’un autre problème de type 4xx,2026-08-19
https://l0g.fr/api/mcp,Bloquée en raison d’un autre problème de type 4xx,2026-06-29
https://l0g.fr/llms-full.txt,Bloquée en raison d’une interdiction d’accès (403),2026-07-06
https://l0g.fr/posts/,Bloquée en raison d’une interdiction d’accès (403),2026-06-25
