url,statut_gsc,derniere_exploration,canonical_utilisateur,canonical_google,sitemap,date_publication,route,decision,raison_decision,present_build,present_sitemap_build,canonical_build,robots_build,langue_build,mots_build,inlinks_build,profondeur_hub,titles_dupliques
https://l0g.fr/en/analysis/iran-how-far-can-bessent-close-the-dollar/,"Détectée, actuellement non indexée",,https://l0g.fr/en/analysis/iran-how-far-can-bessent-close-the-dollar/,,oui,2026-08-25T19:15:00.000Z,/en/analysis/iran-how-far-can-bessent-close-the-dollar/,a_indexer,page 200 indexable avec canonical propre dans le build,oui,oui,https://l0g.fr/en/analysis/iran-how-far-can-bessent-close-the-dollar/,index,en,3146,4,2,
https://l0g.fr/en/analysis/jpmorgan-market-surveillance-black-box/,"Détectée, actuellement non indexée",,https://l0g.fr/en/analysis/jpmorgan-market-surveillance-black-box/,,oui,2026-07-31T12:30:00.000Z,/en/analysis/jpmorgan-market-surveillance-black-box/,a_indexer,page 200 indexable avec canonical propre dans le build,oui,oui,https://l0g.fr/en/analysis/jpmorgan-market-surveillance-black-box/,index,en,2468,3,2,
https://l0g.fr/en/analysis/model-pump-price-of-adequacy/,"Détectée, actuellement non indexée",,https://l0g.fr/en/analysis/model-pump-price-of-adequacy/,,oui,2026-08-21T09:20:00.000Z,/en/analysis/model-pump-price-of-adequacy/,a_indexer,page 200 indexable avec canonical propre dans le build,oui,oui,https://l0g.fr/en/analysis/model-pump-price-of-adequacy/,index,en,2919,6,2,
https://l0g.fr/en/analysis/page/8/,"Détectée, actuellement non indexée",,https://l0g.fr/en/analysis/page/8/,,oui,,/en/analysis/page/8/,a_indexer,page 200 indexable avec canonical propre dans le build,oui,oui,https://l0g.fr/en/analysis/page/8/,index,en,1159,4,2,
https://l0g.fr/en/analysis/private-credit-clo-warehouse-banks/,"Détectée, actuellement non indexée",,https://l0g.fr/en/analysis/private-credit-clo-warehouse-banks/,,oui,2026-08-18T16:50:00.000Z,/en/analysis/private-credit-clo-warehouse-banks/,a_indexer,page 200 indexable avec canonical propre dans le build,oui,oui,https://l0g.fr/en/analysis/private-credit-clo-warehouse-banks/,index,en,2795,2,2,
https://l0g.fr/en/analysis/private-credit-risk-begins-where-data-ends/,"Détectée, actuellement non indexée",,https://l0g.fr/en/analysis/private-credit-risk-begins-where-data-ends/,,oui,2026-07-29T15:00:00.000Z,/en/analysis/private-credit-risk-begins-where-data-ends/,a_indexer,page 200 indexable avec canonical propre dans le build,oui,oui,https://l0g.fr/en/analysis/private-credit-risk-begins-where-data-ends/,index,en,2278,4,1,
https://l0g.fr/en/analysis/synthetic-patient-medicare-advantage/,"Détectée, actuellement non indexée",,https://l0g.fr/en/analysis/synthetic-patient-medicare-advantage/,,oui,2026-07-29T16:30:00.000Z,/en/analysis/synthetic-patient-medicare-advantage/,a_indexer,page 200 indexable avec canonical propre dans le build,oui,oui,https://l0g.fr/en/analysis/synthetic-patient-medicare-advantage/,index,en,2403,2,2,
https://l0g.fr/en/analysis/the-average-consumer-does-not-exist/,"Détectée, actuellement non indexée",,https://l0g.fr/en/analysis/the-average-consumer-does-not-exist/,,oui,2026-07-27T09:01:00.000Z,/en/analysis/the-average-consumer-does-not-exist/,a_indexer,page 200 indexable avec canonical propre dans le build,oui,oui,https://l0g.fr/en/analysis/the-average-consumer-does-not-exist/,index,en,1528,7,2,
https://l0g.fr/en/analysis/the-balance-sheet-apollo-does-not-consolidate/,"Détectée, actuellement non indexée",,https://l0g.fr/en/analysis/the-balance-sheet-apollo-does-not-consolidate/,,oui,2026-07-30T21:40:00.000Z,/en/analysis/the-balance-sheet-apollo-does-not-consolidate/,a_indexer,page 200 indexable avec canonical propre dans le build,oui,oui,https://l0g.fr/en/analysis/the-balance-sheet-apollo-does-not-consolidate/,index,en,3703,9,2,
https://l0g.fr/en/analysis/the-extra-degree-thermal-discharges-nuclear/,"Détectée, actuellement non indexée",,https://l0g.fr/en/analysis/the-extra-degree-thermal-discharges-nuclear/,,oui,2026-08-20T16:20:00.000Z,/en/analysis/the-extra-degree-thermal-discharges-nuclear/,a_indexer,page 200 indexable avec canonical propre dans le build,oui,oui,https://l0g.fr/en/analysis/the-extra-degree-thermal-discharges-nuclear/,index,en,3374,8,2,
https://l0g.fr/en/analysis/the-great-e-invoicing-toll-3-the-price-of-free/,"Détectée, actuellement non indexée",,https://l0g.fr/en/analysis/the-great-e-invoicing-toll-3-the-price-of-free/,,oui,2026-08-22T08:51:11.000Z,/en/analysis/the-great-e-invoicing-toll-3-the-price-of-free/,a_indexer,page 200 indexable avec canonical propre dans le build,oui,oui,https://l0g.fr/en/analysis/the-great-e-invoicing-toll-3-the-price-of-free/,index,en,5229,8,2,
https://l0g.fr/en/analysis/the-great-e-invoicing-toll-4-who-reads-your-invoices/,"Détectée, actuellement non indexée",,https://l0g.fr/en/analysis/the-great-e-invoicing-toll-4-who-reads-your-invoices/,,oui,2026-08-22T11:00:00.000Z,/en/analysis/the-great-e-invoicing-toll-4-who-reads-your-invoices/,a_indexer,page 200 indexable avec canonical propre dans le build,oui,oui,https://l0g.fr/en/analysis/the-great-e-invoicing-toll-4-who-reads-your-invoices/,index,en,4274,7,2,
https://l0g.fr/en/analysis/the-guarantee-nobody-signed/,"Détectée, actuellement non indexée",,https://l0g.fr/en/analysis/the-guarantee-nobody-signed/,,oui,2026-08-18T19:45:00.000Z,/en/analysis/the-guarantee-nobody-signed/,a_indexer,page 200 indexable avec canonical propre dans le build,oui,oui,https://l0g.fr/en/analysis/the-guarantee-nobody-signed/,index,en,3703,2,2,
https://l0g.fr/en/analysis/the-lender-of-next-to-last-resort/,"Détectée, actuellement non indexée",,https://l0g.fr/en/analysis/the-lender-of-next-to-last-resort/,,oui,2026-07-28T15:52:00.000Z,/en/analysis/the-lender-of-next-to-last-resort/,a_indexer,page 200 indexable avec canonical propre dans le build,oui,oui,https://l0g.fr/en/analysis/the-lender-of-next-to-last-resort/,index,en,2396,5,2,
https://l0g.fr/en/analysis/the-missing-ledger/,"Détectée, actuellement non indexée",,https://l0g.fr/en/analysis/the-missing-ledger/,,oui,2026-07-30T20:24:40.000Z,/en/analysis/the-missing-ledger/,a_indexer,page 200 indexable avec canonical propre dans le build,oui,oui,https://l0g.fr/en/analysis/the-missing-ledger/,index,en,2031,2,2,
